mode,K,N,sample,k_eff_target,k_eff_actual,c,window_floored,query_ref,needle_lo,needle_hi,arm,outcome,first_code,needle_in_topk,keff_onset,prompt_hash,oom
semantic,16,32000,4,dense,-,-,-,indigo clock,9798,9813,dense,WRONG_NEEDLE,1995531,,,1344063c5991,False
semantic,16,32000,4,1300,1300,0.040600,0,indigo clock,9798,9813,sparse,WRONG_NEEDLE,1995531,0.609,,1344063c5991,False
semantic,16,32000,4,2000,2000,0.062453,0,indigo clock,9798,9813,sparse,WRONG_NEEDLE,1995531,0.688,,1344063c5991,False
semantic,16,32000,4,2600,2600,0.081184,0,indigo clock,9798,9813,sparse,WRONG_NEEDLE,1995531,0.738,,1344063c5991,False
semantic,16,32000,4,3500,3500,0.109281,0,indigo clock,9798,9813,sparse,WRONG_NEEDLE,1995531,0.779,,1344063c5991,False
semantic,16,32000,4,5200,5200,0.162353,0,indigo clock,9798,9813,sparse,WRONG_NEEDLE,1995531,0.854,,1344063c5991,False
semantic,16,32000,5,dense,-,-,-,indigo skylight,352,369,dense,CORRECT,2879508,,,544e213d9b40,False
semantic,16,32000,5,1300,1300,0.040595,0,indigo skylight,352,369,sparse,CORRECT,2879508,0.467,,544e213d9b40,False
semantic,16,32000,5,2000,2000,0.062445,0,indigo skylight,352,369,sparse,CORRECT,2879508,0.510,,544e213d9b40,False
semantic,16,32000,5,2600,2600,0.081174,0,indigo skylight,352,369,sparse,CORRECT,2879508,0.545,,544e213d9b40,False
semantic,16,32000,5,3500,3500,0.109268,0,indigo skylight,352,369,sparse,CORRECT,2879508,0.576,,544e213d9b40,False
semantic,16,32000,5,5200,5200,0.162333,0,indigo skylight,352,369,sparse,CORRECT,2879508,0.631,,544e213d9b40,False
semantic,16,32000,6,dense,-,-,-,indigo skylight,27697,27714,dense,WRONG_NEEDLE,4119191,,,6410c4597997,False
semantic,16,32000,6,1300,1300,0.040595,0,indigo skylight,27697,27714,sparse,WRONG_NEEDLE,4119191,0.912,,6410c4597997,False
semantic,16,32000,6,2000,2000,0.062445,0,indigo skylight,27697,27714,sparse,WRONG_NEEDLE,4119191,0.957,,6410c4597997,False
semantic,16,32000,6,2600,2600,0.081174,0,indigo skylight,27697,27714,sparse,WRONG_NEEDLE,4119191,0.975,,6410c4597997,False
semantic,16,32000,6,3500,3500,0.109268,0,indigo skylight,27697,27714,sparse,WRONG_NEEDLE,4119191,0.986,,6410c4597997,False
semantic,16,32000,6,5200,5200,0.162333,0,indigo skylight,27697,27714,sparse,WRONG_NEEDLE,4119191,0.994,,6410c4597997,False
semantic,16,32000,7,dense,-,-,-,indigo banister,17467,17483,dense,CORRECT,8678413,,,1880a2a49da3,False
semantic,16,32000,7,1300,1300,0.040597,0,indigo banister,17467,17483,sparse,CORRECT,8678413,0.762,,1880a2a49da3,False
semantic,16,32000,7,2000,2000,0.062449,0,indigo banister,17467,17483,sparse,CORRECT,8678413,0.820,,1880a2a49da3,False
semantic,16,32000,7,2600,2600,0.081179,0,indigo banister,17467,17483,sparse,CORRECT,8678413,0.867,,1880a2a49da3,False
semantic,16,32000,7,3500,3500,0.109275,0,indigo banister,17467,17483,sparse,CORRECT,8678413,0.898,,1880a2a49da3,False
semantic,16,32000,7,5200,5200,0.162343,0,indigo banister,17467,17483,sparse,CORRECT,8678413,0.943,,1880a2a49da3,False
semantic,16,32000,8,dense,-,-,-,olive mural,31320,31334,dense,CORRECT,5154764,,,d8939f631022,False
semantic,16,32000,8,1300,1300,0.040603,0,olive mural,31320,31334,sparse,CORRECT,5154764,0.869,,d8939f631022,False
semantic,16,32000,8,2000,2000,0.062457,0,olive mural,31320,31334,sparse,CORRECT,5154764,0.910,,d8939f631022,False
semantic,16,32000,8,2600,2600,0.081190,0,olive mural,31320,31334,sparse,CORRECT,5154764,0.928,,d8939f631022,False
semantic,16,32000,8,3500,3500,0.109288,0,olive mural,31320,31334,sparse,CORRECT,5154764,0.938,,d8939f631022,False
semantic,16,32000,8,5200,5200,0.162363,0,olive mural,31320,31334,sparse,CORRECT,5154764,0.971,,d8939f631022,False
semantic,16,32000,9,dense,-,-,-,blue carpet,6182,6196,dense,CORRECT,4216371,,,4b0de28e872e,False
semantic,16,32000,9,1300,1300,0.040603,0,blue carpet,6182,6196,sparse,CORRECT,4216371,0.648,,4b0de28e872e,False
semantic,16,32000,9,2000,2000,0.062457,0,blue carpet,6182,6196,sparse,CORRECT,4216371,0.727,,4b0de28e872e,False
semantic,16,32000,9,2600,2600,0.081190,0,blue carpet,6182,6196,sparse,CORRECT,4216371,0.773,,4b0de28e872e,False
semantic,16,32000,9,3500,3500,0.109288,0,blue carpet,6182,6196,sparse,CORRECT,4216371,0.840,,4b0de28e872e,False
semantic,16,32000,9,5200,5200,0.162363,0,blue carpet,6182,6196,sparse,CORRECT,4216371,0.926,,4b0de28e872e,False
semantic,16,32000,10,dense,-,-,-,grey banister,9597,9612,dense,CORRECT,2239667,,,bb2b4196b56e,False
semantic,16,32000,10,1300,1300,0.040600,0,grey banister,9597,9612,sparse,CORRECT,2239667,0.627,,bb2b4196b56e,False
semantic,16,32000,10,2000,2000,0.062453,0,grey banister,9597,9612,sparse,CORRECT,2239667,0.723,,bb2b4196b56e,False
semantic,16,32000,10,2600,2600,0.081184,0,grey banister,9597,9612,sparse,CORRECT,2239667,0.766,,bb2b4196b56e,False
semantic,16,32000,10,3500,3500,0.109281,0,grey banister,9597,9612,sparse,CORRECT,2239667,0.826,,bb2b4196b56e,False
semantic,16,32000,10,5200,5200,0.162353,0,grey banister,9597,9612,sparse,CORRECT,2239667,0.887,,bb2b4196b56e,False
semantic,16,32000,11,dense,-,-,-,indigo ledge,18006,18021,dense,WRONG_NEEDLE,1319867,,,8d2d22cb8fc0,False
semantic,16,32000,11,1300,1300,0.040600,0,indigo ledge,18006,18021,sparse,WRONG_NEEDLE,1319867,0.689,,8d2d22cb8fc0,False
semantic,16,32000,11,2000,2000,0.062453,0,indigo ledge,18006,18021,sparse,WRONG_NEEDLE,1319867,0.746,,8d2d22cb8fc0,False
semantic,16,32000,11,2600,2600,0.081184,0,indigo ledge,18006,18021,sparse,WRONG_NEEDLE,1319867,0.783,,8d2d22cb8fc0,False
semantic,16,32000,11,3500,3500,0.109281,0,indigo ledge,18006,18021,sparse,WRONG_NEEDLE,1319867,0.840,,8d2d22cb8fc0,False
semantic,16,32000,11,5200,5200,0.162353,0,indigo ledge,18006,18021,sparse,WRONG_NEEDLE,1319867,0.887,,8d2d22cb8fc0,False
semantic,16,32000,12,dense,-,-,-,teal carpet,28748,28762,dense,WRONG_NEEDLE,2609820,,,0033e1b2586c,False
semantic,16,32000,12,1300,1300,0.040603,0,teal carpet,28748,28762,sparse,WRONG_NEEDLE,2609820,0.689,,0033e1b2586c,False
semantic,16,32000,12,2000,2000,0.062457,0,teal carpet,28748,28762,sparse,WRONG_NEEDLE,2609820,0.758,,0033e1b2586c,False
semantic,16,32000,12,2600,2600,0.081190,0,teal carpet,28748,28762,sparse,WRONG_NEEDLE,2609820,0.812,,0033e1b2586c,False
semantic,16,32000,12,3500,3500,0.109288,0,teal carpet,28748,28762,sparse,WRONG_NEEDLE,2609820,0.865,,0033e1b2586c,False
semantic,16,32000,12,5200,5200,0.162363,0,teal carpet,28748,28762,sparse,WRONG_NEEDLE,2609820,0.910,,0033e1b2586c,False
semantic,16,32000,13,dense,-,-,-,scarlet shutter,22514,22529,dense,WRONG_NEEDLE,7613444,,,6918abfd03f5,False
semantic,16,32000,13,1300,1300,0.040600,0,scarlet shutter,22514,22529,sparse,OTHER_CODE,1234567,0.861,,6918abfd03f5,False
semantic,16,32000,13,2000,2000,0.062453,0,scarlet shutter,22514,22529,sparse,WRONG_NEEDLE,6661653,0.912,,6918abfd03f5,False
semantic,16,32000,13,2600,2600,0.081184,0,scarlet shutter,22514,22529,sparse,WRONG_NEEDLE,6661653,0.951,,6918abfd03f5,False
semantic,16,32000,13,3500,3500,0.109281,0,scarlet shutter,22514,22529,sparse,WRONG_NEEDLE,6661653,0.977,,6918abfd03f5,False
semantic,16,32000,13,5200,5200,0.162353,0,scarlet shutter,22514,22529,sparse,WRONG_NEEDLE,7613444,0.988,,6918abfd03f5,False
semantic,16,32000,14,dense,-,-,-,blue floor,11618,11632,dense,WRONG_NEEDLE,8508412,,,0f8c9da1e98a,False
semantic,16,32000,14,1300,1300,0.040603,0,blue floor,11618,11632,sparse,WRONG_NEEDLE,8508412,0.568,,0f8c9da1e98a,False
semantic,16,32000,14,2000,2000,0.062457,0,blue floor,11618,11632,sparse,WRONG_NEEDLE,8508412,0.674,,0f8c9da1e98a,False
semantic,16,32000,14,2600,2600,0.081190,0,blue floor,11618,11632,sparse,WRONG_NEEDLE,8508412,0.729,,0f8c9da1e98a,False
semantic,16,32000,14,3500,3500,0.109288,0,blue floor,11618,11632,sparse,WRONG_NEEDLE,8508412,0.777,,0f8c9da1e98a,False
semantic,16,32000,14,5200,5200,0.162363,0,blue floor,11618,11632,sparse,WRONG_NEEDLE,8508412,0.852,,0f8c9da1e98a,False
semantic,16,32000,15,dense,-,-,-,green fountain,2946,2960,dense,CORRECT,2462475,,,288615f6c618,False
semantic,16,32000,15,1300,1300,0.040603,0,green fountain,2946,2960,sparse,CORRECT,2462475,0.625,,288615f6c618,False
semantic,16,32000,15,2000,2000,0.062457,0,green fountain,2946,2960,sparse,CORRECT,2462475,0.682,,288615f6c618,False
semantic,16,32000,15,2600,2600,0.081190,0,green fountain,2946,2960,sparse,CORRECT,2462475,0.727,,288615f6c618,False
semantic,16,32000,15,3500,3500,0.109288,0,green fountain,2946,2960,sparse,CORRECT,2462475,0.773,,288615f6c618,False
semantic,16,32000,15,5200,5200,0.162363,0,green fountain,2946,2960,sparse,CORRECT,2462475,0.844,,288615f6c618,False
semantic,16,32000,16,dense,-,-,-,olive fountain,29374,29388,dense,WRONG_NEEDLE,9824579,,,74da5640495f,False
semantic,16,32000,16,1300,1300,0.040603,0,olive fountain,29374,29388,sparse,WRONG_NEEDLE,5408061,0.957,,74da5640495f,False
semantic,16,32000,16,2000,2000,0.062457,0,olive fountain,29374,29388,sparse,WRONG_NEEDLE,5408061,0.980,,74da5640495f,False
semantic,16,32000,16,2600,2600,0.081190,0,olive fountain,29374,29388,sparse,WRONG_NEEDLE,9824579,0.982,,74da5640495f,False
semantic,16,32000,16,3500,3500,0.109288,0,olive fountain,29374,29388,sparse,WRONG_NEEDLE,9824579,0.990,,74da5640495f,False
semantic,16,32000,16,5200,5200,0.162363,0,olive fountain,29374,29388,sparse,WRONG_NEEDLE,9824579,0.996,,74da5640495f,False
semantic,16,32000,17,dense,-,-,-,black cabinet,6701,6715,dense,CORRECT,7491978,,,acb6915a076b,False
semantic,16,32000,17,1300,1300,0.040603,0,black cabinet,6701,6715,sparse,CORRECT,7491978,0.490,,acb6915a076b,False
semantic,16,32000,17,2000,2000,0.062457,0,black cabinet,6701,6715,sparse,CORRECT,7491978,0.541,,acb6915a076b,False
semantic,16,32000,17,2600,2600,0.081190,0,black cabinet,6701,6715,sparse,CORRECT,7491978,0.580,,acb6915a076b,False
semantic,16,32000,17,3500,3500,0.109288,0,black cabinet,6701,6715,sparse,CORRECT,7491978,0.611,,acb6915a076b,False
semantic,16,32000,17,5200,5200,0.162363,0,black cabinet,6701,6715,sparse,CORRECT,7491978,0.672,,acb6915a076b,False
semantic,16,32000,18,dense,-,-,-,indigo fountain,2489,2504,dense,CORRECT,3548922,,,1a060591413e,False
semantic,16,32000,18,1300,1300,0.040600,0,indigo fountain,2489,2504,sparse,CORRECT,3548922,0.652,,1a060591413e,False
semantic,16,32000,18,2000,2000,0.062453,0,indigo fountain,2489,2504,sparse,CORRECT,3548922,0.709,,1a060591413e,False
semantic,16,32000,18,2600,2600,0.081184,0,indigo fountain,2489,2504,sparse,CORRECT,3548922,0.742,,1a060591413e,False
semantic,16,32000,18,3500,3500,0.109281,0,indigo fountain,2489,2504,sparse,CORRECT,3548922,0.777,,1a060591413e,False
semantic,16,32000,18,5200,5200,0.162353,0,indigo fountain,2489,2504,sparse,CORRECT,3548922,0.848,,1a060591413e,False
semantic,16,32000,19,dense,-,-,-,grey safe,21933,21947,dense,CORRECT,5428421,,,9c4c469403a8,False
semantic,16,32000,19,1300,1300,0.040603,0,grey safe,21933,21947,sparse,CORRECT,5428421,0.730,,9c4c469403a8,False
semantic,16,32000,19,2000,2000,0.062457,0,grey safe,21933,21947,sparse,CORRECT,5428421,0.814,,9c4c469403a8,False
semantic,16,32000,19,2600,2600,0.081190,0,grey safe,21933,21947,sparse,CORRECT,5428421,0.854,,9c4c469403a8,False
semantic,16,32000,19,3500,3500,0.109288,0,grey safe,21933,21947,sparse,CORRECT,5428421,0.900,,9c4c469403a8,False
semantic,16,32000,19,5200,5200,0.162363,0,grey safe,21933,21947,sparse,CORRECT,5428421,0.953,,9c4c469403a8,False
semantic,16,32000,20,dense,-,-,-,ivory gate,632,646,dense,CORRECT,4997610,,,cd7a457bbfce,False
semantic,16,32000,20,1300,1300,0.040603,0,ivory gate,632,646,sparse,CORRECT,4997610,0.762,,cd7a457bbfce,False
semantic,16,32000,20,2000,2000,0.062457,0,ivory gate,632,646,sparse,CORRECT,4997610,0.814,,cd7a457bbfce,False
semantic,16,32000,20,2600,2600,0.081190,0,ivory gate,632,646,sparse,CORRECT,4997610,0.842,,cd7a457bbfce,False
semantic,16,32000,20,3500,3500,0.109288,0,ivory gate,632,646,sparse,CORRECT,4997610,0.881,,cd7a457bbfce,False
semantic,16,32000,20,5200,5200,0.162363,0,ivory gate,632,646,sparse,CORRECT,4997610,0.916,,cd7a457bbfce,False
semantic,16,32000,21,dense,-,-,-,maroon awning,18383,18399,dense,CORRECT,2620001,,,c01b1f177aeb,False
semantic,16,32000,21,1300,1300,0.040597,0,maroon awning,18383,18399,sparse,CORRECT,2620001,0.818,,c01b1f177aeb,False
semantic,16,32000,21,2000,2000,0.062449,0,maroon awning,18383,18399,sparse,CORRECT,2620001,0.883,,c01b1f177aeb,False
semantic,16,32000,21,2600,2600,0.081179,0,maroon awning,18383,18399,sparse,CORRECT,2620001,0.914,,c01b1f177aeb,False
semantic,16,32000,21,3500,3500,0.109275,0,maroon awning,18383,18399,sparse,CORRECT,2620001,0.969,,c01b1f177aeb,False
semantic,16,32000,21,5200,5200,0.162343,0,maroon awning,18383,18399,sparse,CORRECT,2620001,0.986,,c01b1f177aeb,False
semantic,16,32000,22,dense,-,-,-,scarlet banister,6060,6076,dense,WRONG_NEEDLE,9929403,,,677ffaf1c65c,False
semantic,16,32000,22,1300,1300,0.040597,0,scarlet banister,6060,6076,sparse,WRONG_NEEDLE,9929403,0.615,,677ffaf1c65c,False
semantic,16,32000,22,2000,2000,0.062449,0,scarlet banister,6060,6076,sparse,WRONG_NEEDLE,9929403,0.688,,677ffaf1c65c,False
semantic,16,32000,22,2600,2600,0.081179,0,scarlet banister,6060,6076,sparse,WRONG_NEEDLE,9929403,0.742,,677ffaf1c65c,False
semantic,16,32000,22,3500,3500,0.109275,0,scarlet banister,6060,6076,sparse,WRONG_NEEDLE,9929403,0.787,,677ffaf1c65c,False
semantic,16,32000,22,5200,5200,0.162343,0,scarlet banister,6060,6076,sparse,WRONG_NEEDLE,9929403,0.852,,677ffaf1c65c,False
semantic,16,32000,23,dense,-,-,-,copper awning,1482,1497,dense,CORRECT,6998038,,,e108977be019,False
semantic,16,32000,23,1300,1300,0.040600,0,copper awning,1482,1497,sparse,CORRECT,6998038,0.486,,e108977be019,False
semantic,16,32000,23,2000,2000,0.062453,0,copper awning,1482,1497,sparse,CORRECT,6998038,0.537,,e108977be019,False
semantic,16,32000,23,2600,2600,0.081184,0,copper awning,1482,1497,sparse,CORRECT,6998038,0.576,,e108977be019,False
semantic,16,32000,23,3500,3500,0.109281,0,copper awning,1482,1497,sparse,CORRECT,6998038,0.609,,e108977be019,False
semantic,16,32000,23,5200,5200,0.162353,0,copper awning,1482,1497,sparse,CORRECT,6998038,0.664,,e108977be019,False
semantic,16,32000,24,dense,-,-,-,ivory floor,3569,3583,dense,CORRECT,1282821,,,0800a8a5aaba,False
semantic,16,32000,24,1300,1300,0.040603,0,ivory floor,3569,3583,sparse,WRONG_NEEDLE,7127147,0.771,,0800a8a5aaba,False
semantic,16,32000,24,2000,2000,0.062457,0,ivory floor,3569,3583,sparse,WRONG_NEEDLE,7127147,0.848,,0800a8a5aaba,False
semantic,16,32000,24,2600,2600,0.081190,0,ivory floor,3569,3583,sparse,CORRECT,1282821,0.879,,0800a8a5aaba,False
semantic,16,32000,24,3500,3500,0.109288,0,ivory floor,3569,3583,sparse,CORRECT,1282821,0.920,,0800a8a5aaba,False
semantic,16,32000,24,5200,5200,0.162363,0,ivory floor,3569,3583,sparse,CORRECT,1282821,0.961,,0800a8a5aaba,False
semantic,16,32000,25,dense,-,-,-,amber skylight,26769,26785,dense,CORRECT,9936157,,,48741ca564fe,False
semantic,16,32000,25,1300,1300,0.040597,0,amber skylight,26769,26785,sparse,CORRECT,9936157,0.857,,48741ca564fe,False
semantic,16,32000,25,2000,2000,0.062449,0,amber skylight,26769,26785,sparse,CORRECT,9936157,0.916,,48741ca564fe,False
semantic,16,32000,25,2600,2600,0.081179,0,amber skylight,26769,26785,sparse,CORRECT,9936157,0.943,,48741ca564fe,False
semantic,16,32000,25,3500,3500,0.109275,0,amber skylight,26769,26785,sparse,CORRECT,9936157,0.967,,48741ca564fe,False
semantic,16,32000,25,5200,5200,0.162343,0,amber skylight,26769,26785,sparse,CORRECT,9936157,0.994,,48741ca564fe,False
semantic,16,32000,26,dense,-,-,-,crimson shutter,5873,5887,dense,WRONG_NEEDLE,3432277,,,79bfb35e8792,False
semantic,16,32000,26,1300,1300,0.040603,0,crimson shutter,5873,5887,sparse,WRONG_NEEDLE,3432277,0.514,,79bfb35e8792,False
semantic,16,32000,26,2000,2000,0.062457,0,crimson shutter,5873,5887,sparse,WRONG_NEEDLE,3432277,0.584,,79bfb35e8792,False
semantic,16,32000,26,2600,2600,0.081190,0,crimson shutter,5873,5887,sparse,WRONG_NEEDLE,3432277,0.635,,79bfb35e8792,False
semantic,16,32000,26,3500,3500,0.109288,0,crimson shutter,5873,5887,sparse,WRONG_NEEDLE,3432277,0.699,,79bfb35e8792,False
semantic,16,32000,26,5200,5200,0.162363,0,crimson shutter,5873,5887,sparse,WRONG_NEEDLE,3432277,0.764,,79bfb35e8792,False
semantic,16,32000,27,dense,-,-,-,white panelling,25405,25420,dense,CORRECT,7123217,,,5ef49d57f54e,False
semantic,16,32000,27,1300,1300,0.040600,0,white panelling,25405,25420,sparse,CORRECT,7123217,0.508,,5ef49d57f54e,False
semantic,16,32000,27,2000,2000,0.062453,0,white panelling,25405,25420,sparse,CORRECT,7123217,0.549,,5ef49d57f54e,False
semantic,16,32000,27,2600,2600,0.081184,0,white panelling,25405,25420,sparse,CORRECT,7123217,0.586,,5ef49d57f54e,False
semantic,16,32000,27,3500,3500,0.109281,0,white panelling,25405,25420,sparse,CORRECT,7123217,0.619,,5ef49d57f54e,False
semantic,16,32000,27,5200,5200,0.162353,0,white panelling,25405,25420,sparse,CORRECT,7123217,0.689,,5ef49d57f54e,False
semantic,16,32000,28,dense,-,-,-,copper ledge,13220,13234,dense,CORRECT,4841246,,,e3462216542c,False
semantic,16,32000,28,1300,1300,0.040603,0,copper ledge,13220,13234,sparse,CORRECT,4841246,0.465,,e3462216542c,False
semantic,16,32000,28,2000,2000,0.062457,0,copper ledge,13220,13234,sparse,CORRECT,4841246,0.514,,e3462216542c,False
semantic,16,32000,28,2600,2600,0.081190,0,copper ledge,13220,13234,sparse,CORRECT,4841246,0.549,,e3462216542c,False
semantic,16,32000,28,3500,3500,0.109288,0,copper ledge,13220,13234,sparse,CORRECT,4841246,0.598,,e3462216542c,False
semantic,16,32000,28,5200,5200,0.162363,0,copper ledge,13220,13234,sparse,CORRECT,4841246,0.645,,e3462216542c,False
semantic,16,32000,29,dense,-,-,-,copper safe,24737,24751,dense,CORRECT,5779420,,,e974732f3749,False
semantic,16,32000,29,1300,1300,0.040603,0,copper safe,24737,24751,sparse,CORRECT,5779420,0.605,,e974732f3749,False
semantic,16,32000,29,2000,2000,0.062457,0,copper safe,24737,24751,sparse,CORRECT,5779420,0.701,,e974732f3749,False
semantic,16,32000,29,2600,2600,0.081190,0,copper safe,24737,24751,sparse,CORRECT,5779420,0.768,,e974732f3749,False
semantic,16,32000,29,3500,3500,0.109288,0,copper safe,24737,24751,sparse,CORRECT,5779420,0.828,,e974732f3749,False
semantic,16,32000,29,5200,5200,0.162363,0,copper safe,24737,24751,sparse,CORRECT,5779420,0.898,,e974732f3749,False
semantic,16,32000,30,dense,-,-,-,crimson lantern,3438,3452,dense,CORRECT,3397284,,,4c4bcdad99de,False
semantic,16,32000,30,1300,1300,0.040603,0,crimson lantern,3438,3452,sparse,CORRECT,3397284,0.635,,4c4bcdad99de,False
semantic,16,32000,30,2000,2000,0.062457,0,crimson lantern,3438,3452,sparse,CORRECT,3397284,0.705,,4c4bcdad99de,False
semantic,16,32000,30,2600,2600,0.081190,0,crimson lantern,3438,3452,sparse,CORRECT,3397284,0.742,,4c4bcdad99de,False
semantic,16,32000,30,3500,3500,0.109288,0,crimson lantern,3438,3452,sparse,CORRECT,3397284,0.809,,4c4bcdad99de,False
semantic,16,32000,30,5200,5200,0.162363,0,crimson lantern,3438,3452,sparse,CORRECT,3397284,0.889,,4c4bcdad99de,False
semantic,16,32000,31,dense,-,-,-,olive clock,27217,27231,dense,WRONG_NEEDLE,1718741,,,4dfb0cb316f7,False
semantic,16,32000,31,1300,1300,0.040603,0,olive clock,27217,27231,sparse,WRONG_NEEDLE,3003023,0.701,,4dfb0cb316f7,False
semantic,16,32000,31,2000,2000,0.062457,0,olive clock,27217,27231,sparse,WRONG_NEEDLE,1718741,0.764,,4dfb0cb316f7,False
semantic,16,32000,31,2600,2600,0.081190,0,olive clock,27217,27231,sparse,WRONG_NEEDLE,1718741,0.826,,4dfb0cb316f7,False
semantic,16,32000,31,3500,3500,0.109288,0,olive clock,27217,27231,sparse,WRONG_NEEDLE,1718741,0.867,,4dfb0cb316f7,False
semantic,16,32000,31,5200,5200,0.162363,0,olive clock,27217,27231,sparse,WRONG_NEEDLE,1718741,0.930,,4dfb0cb316f7,False
semantic,16,32000,32,dense,-,-,-,blue awning,13337,13352,dense,WRONG_NEEDLE,9186303,,,1ce0cd136aa2,False
semantic,16,32000,32,1300,1300,0.040600,0,blue awning,13337,13352,sparse,WRONG_NEEDLE,9186303,0.447,,1ce0cd136aa2,False
semantic,16,32000,32,2000,2000,0.062453,0,blue awning,13337,13352,sparse,WRONG_NEEDLE,9186303,0.535,,1ce0cd136aa2,False
semantic,16,32000,32,2600,2600,0.081184,0,blue awning,13337,13352,sparse,WRONG_NEEDLE,9186303,0.598,,1ce0cd136aa2,False
semantic,16,32000,32,3500,3500,0.109281,0,blue awning,13337,13352,sparse,WRONG_NEEDLE,9186303,0.656,,1ce0cd136aa2,False
semantic,16,32000,32,5200,5200,0.162353,0,blue awning,13337,13352,sparse,WRONG_NEEDLE,9186303,0.754,,1ce0cd136aa2,False
semantic,16,32000,33,dense,-,-,-,indigo panelling,14752,14768,dense,WRONG_NEEDLE,3194423,,,faefbf618d56,False
semantic,16,32000,33,1300,1300,0.040597,0,indigo panelling,14752,14768,sparse,CORRECT,1053232,0.459,,faefbf618d56,False
semantic,16,32000,33,2000,2000,0.062449,0,indigo panelling,14752,14768,sparse,WRONG_NEEDLE,3194423,0.514,,faefbf618d56,False
semantic,16,32000,33,2600,2600,0.081179,0,indigo panelling,14752,14768,sparse,WRONG_NEEDLE,3194423,0.557,,faefbf618d56,False
semantic,16,32000,33,3500,3500,0.109275,0,indigo panelling,14752,14768,sparse,WRONG_NEEDLE,3194423,0.609,,faefbf618d56,False
semantic,16,32000,33,5200,5200,0.162343,0,indigo panelling,14752,14768,sparse,CORRECT,1053232,0.689,,faefbf618d56,False
semantic,16,32000,34,dense,-,-,-,ivory lantern,11286,11300,dense,CORRECT,8869874,,,fc2446fcfa21,False
semantic,16,32000,34,1300,1300,0.040603,0,ivory lantern,11286,11300,sparse,CORRECT,8869874,0.553,,fc2446fcfa21,False
semantic,16,32000,34,2000,2000,0.062457,0,ivory lantern,11286,11300,sparse,CORRECT,8869874,0.627,,fc2446fcfa21,False
semantic,16,32000,34,2600,2600,0.081190,0,ivory lantern,11286,11300,sparse,CORRECT,8869874,0.686,,fc2446fcfa21,False
