model,mode,K,N,sample,k_eff_target,k_eff_actual,c,window_floored,query_ref,needle_lo,needle_hi,arm,outcome,first_code,needle_in_topk,prompt_hash,oom
meta-llama/Llama-3.2-3B,semantic,16,32000,2,3500,3500,0.109281,0,olive banister,4130,4145,sparse,WRONG_NEEDLE,4007355,0.808,7ba7c31f0727,False
meta-llama/Llama-3.2-3B,semantic,16,32000,2,5200,5200,0.162353,0,olive banister,4130,4145,sparse,WRONG_NEEDLE,4007355,0.868,7ba7c31f0727,False
meta-llama/Llama-3.2-3B,semantic,16,32000,3,dense,-,-,-,olive clock,3167,3181,dense,WRONG_NEEDLE,8515183,,f022df12b501,False
meta-llama/Llama-3.2-3B,semantic,16,32000,3,1300,1300,0.040603,0,olive clock,3167,3181,sparse,WRONG_NEEDLE,8515183,0.726,f022df12b501,False
meta-llama/Llama-3.2-3B,semantic,16,32000,3,2000,2000,0.062457,0,olive clock,3167,3181,sparse,WRONG_NEEDLE,8515183,0.769,f022df12b501,False
meta-llama/Llama-3.2-3B,semantic,16,32000,3,2600,2600,0.081190,0,olive clock,3167,3181,sparse,WRONG_NEEDLE,8515183,0.795,f022df12b501,False
meta-llama/Llama-3.2-3B,semantic,16,32000,3,3500,3500,0.109288,0,olive clock,3167,3181,sparse,WRONG_NEEDLE,8515183,0.833,f022df12b501,False
meta-llama/Llama-3.2-3B,semantic,16,32000,3,5200,5200,0.162363,0,olive clock,3167,3181,sparse,WRONG_NEEDLE,8515183,0.878,f022df12b501,False
meta-llama/Llama-3.2-3B,semantic,16,32000,4,dense,-,-,-,indigo clock,9798,9813,dense,WRONG_NEEDLE,7322873,,060923a9cd17,False
meta-llama/Llama-3.2-3B,semantic,16,32000,4,1300,1300,0.040600,0,indigo clock,9798,9813,sparse,WRONG_NEEDLE,7322873,0.850,060923a9cd17,False
meta-llama/Llama-3.2-3B,semantic,16,32000,4,2000,2000,0.062453,0,indigo clock,9798,9813,sparse,WRONG_NEEDLE,7322873,0.888,060923a9cd17,False
meta-llama/Llama-3.2-3B,semantic,16,32000,4,2600,2600,0.081184,0,indigo clock,9798,9813,sparse,WRONG_NEEDLE,7322873,0.914,060923a9cd17,False
meta-llama/Llama-3.2-3B,semantic,16,32000,4,3500,3500,0.109281,0,indigo clock,9798,9813,sparse,WRONG_NEEDLE,7322873,0.938,060923a9cd17,False
meta-llama/Llama-3.2-3B,semantic,16,32000,4,5200,5200,0.162353,0,indigo clock,9798,9813,sparse,WRONG_NEEDLE,7322873,0.969,060923a9cd17,False
meta-llama/Llama-3.2-3B,semantic,16,32000,5,dense,-,-,-,indigo skylight,352,369,dense,CORRECT,6688823,,e4f53f2ba0f6,False
meta-llama/Llama-3.2-3B,semantic,16,32000,5,1300,1300,0.040595,0,indigo skylight,352,369,sparse,CORRECT,6688823,0.643,e4f53f2ba0f6,False
meta-llama/Llama-3.2-3B,semantic,16,32000,5,2000,2000,0.062445,0,indigo skylight,352,369,sparse,CORRECT,6688823,0.679,e4f53f2ba0f6,False
meta-llama/Llama-3.2-3B,semantic,16,32000,5,2600,2600,0.081174,0,indigo skylight,352,369,sparse,CORRECT,6688823,0.701,e4f53f2ba0f6,False
meta-llama/Llama-3.2-3B,semantic,16,32000,5,3500,3500,0.109268,0,indigo skylight,352,369,sparse,CORRECT,6688823,0.737,e4f53f2ba0f6,False
meta-llama/Llama-3.2-3B,semantic,16,32000,5,5200,5200,0.162333,0,indigo skylight,352,369,sparse,CORRECT,6688823,0.772,e4f53f2ba0f6,False
meta-llama/Llama-3.2-3B,semantic,16,32000,6,dense,-,-,-,indigo skylight,27697,27714,dense,CORRECT,9835032,,65ab00fd9397,False
meta-llama/Llama-3.2-3B,semantic,16,32000,6,1300,1300,0.040595,0,indigo skylight,27697,27714,sparse,CORRECT,9835032,0.948,65ab00fd9397,False
meta-llama/Llama-3.2-3B,semantic,16,32000,6,2000,2000,0.062445,0,indigo skylight,27697,27714,sparse,CORRECT,9835032,0.966,65ab00fd9397,False
meta-llama/Llama-3.2-3B,semantic,16,32000,6,2600,2600,0.081174,0,indigo skylight,27697,27714,sparse,CORRECT,9835032,0.979,65ab00fd9397,False
meta-llama/Llama-3.2-3B,semantic,16,32000,6,3500,3500,0.109268,0,indigo skylight,27697,27714,sparse,CORRECT,9835032,0.987,65ab00fd9397,False
meta-llama/Llama-3.2-3B,semantic,16,32000,6,5200,5200,0.162333,0,indigo skylight,27697,27714,sparse,CORRECT,9835032,0.996,65ab00fd9397,False
meta-llama/Llama-3.2-3B,semantic,16,32000,7,dense,-,-,-,indigo banister,17467,17483,dense,CORRECT,1152046,,09eb41b24ebd,False
meta-llama/Llama-3.2-3B,semantic,16,32000,7,1300,1300,0.040597,0,indigo banister,17467,17483,sparse,CORRECT,1152046,0.952,09eb41b24ebd,False
meta-llama/Llama-3.2-3B,semantic,16,32000,7,2000,2000,0.062449,0,indigo banister,17467,17483,sparse,CORRECT,1152046,0.972,09eb41b24ebd,False
meta-llama/Llama-3.2-3B,semantic,16,32000,7,2600,2600,0.081179,0,indigo banister,17467,17483,sparse,CORRECT,1152046,0.982,09eb41b24ebd,False
meta-llama/Llama-3.2-3B,semantic,16,32000,7,3500,3500,0.109275,0,indigo banister,17467,17483,sparse,CORRECT,1152046,0.991,09eb41b24ebd,False
meta-llama/Llama-3.2-3B,semantic,16,32000,7,5200,5200,0.162343,0,indigo banister,17467,17483,sparse,CORRECT,1152046,0.997,09eb41b24ebd,False
meta-llama/Llama-3.2-3B,semantic,16,32000,8,dense,-,-,-,olive mural,31320,31334,dense,CORRECT,6835069,,d841bab4ee7a,False
meta-llama/Llama-3.2-3B,semantic,16,32000,8,1300,1300,0.040603,0,olive mural,31320,31334,sparse,CORRECT,6835069,0.900,d841bab4ee7a,False
meta-llama/Llama-3.2-3B,semantic,16,32000,8,2000,2000,0.062457,0,olive mural,31320,31334,sparse,CORRECT,6835069,0.923,d841bab4ee7a,False
meta-llama/Llama-3.2-3B,semantic,16,32000,8,2600,2600,0.081190,0,olive mural,31320,31334,sparse,CORRECT,6835069,0.935,d841bab4ee7a,False
meta-llama/Llama-3.2-3B,semantic,16,32000,8,3500,3500,0.109288,0,olive mural,31320,31334,sparse,CORRECT,6835069,0.963,d841bab4ee7a,False
meta-llama/Llama-3.2-3B,semantic,16,32000,8,5200,5200,0.162363,0,olive mural,31320,31334,sparse,CORRECT,6835069,0.979,d841bab4ee7a,False
meta-llama/Llama-3.2-3B,semantic,16,32000,9,dense,-,-,-,blue carpet,6182,6196,dense,WRONG_NEEDLE,1400046,,c6fb99db5e4f,False
meta-llama/Llama-3.2-3B,semantic,16,32000,9,1300,1300,0.040603,0,blue carpet,6182,6196,sparse,WRONG_NEEDLE,1400046,0.795,c6fb99db5e4f,False
meta-llama/Llama-3.2-3B,semantic,16,32000,9,2000,2000,0.062457,0,blue carpet,6182,6196,sparse,WRONG_NEEDLE,1400046,0.848,c6fb99db5e4f,False
meta-llama/Llama-3.2-3B,semantic,16,32000,9,2600,2600,0.081190,0,blue carpet,6182,6196,sparse,WRONG_NEEDLE,1400046,0.878,c6fb99db5e4f,False
meta-llama/Llama-3.2-3B,semantic,16,32000,9,3500,3500,0.109288,0,blue carpet,6182,6196,sparse,WRONG_NEEDLE,1400046,0.915,c6fb99db5e4f,False
meta-llama/Llama-3.2-3B,semantic,16,32000,9,5200,5200,0.162363,0,blue carpet,6182,6196,sparse,WRONG_NEEDLE,1400046,0.958,c6fb99db5e4f,False
meta-llama/Llama-3.2-3B,semantic,16,32000,10,dense,-,-,-,grey banister,9597,9612,dense,CORRECT,8824683,,97aea22fec4c,False
meta-llama/Llama-3.2-3B,semantic,16,32000,10,1300,1300,0.040600,0,grey banister,9597,9612,sparse,CORRECT,8824683,0.859,97aea22fec4c,False
meta-llama/Llama-3.2-3B,semantic,16,32000,10,2000,2000,0.062453,0,grey banister,9597,9612,sparse,CORRECT,8824683,0.906,97aea22fec4c,False
meta-llama/Llama-3.2-3B,semantic,16,32000,10,2600,2600,0.081184,0,grey banister,9597,9612,sparse,CORRECT,8824683,0.935,97aea22fec4c,False
meta-llama/Llama-3.2-3B,semantic,16,32000,10,3500,3500,0.109281,0,grey banister,9597,9612,sparse,CORRECT,8824683,0.952,97aea22fec4c,False
meta-llama/Llama-3.2-3B,semantic,16,32000,10,5200,5200,0.162353,0,grey banister,9597,9612,sparse,CORRECT,8824683,0.975,97aea22fec4c,False
meta-llama/Llama-3.2-3B,semantic,16,32000,11,dense,-,-,-,indigo ledge,18006,18021,dense,CORRECT,8108788,,996c945b96c5,False
meta-llama/Llama-3.2-3B,semantic,16,32000,11,1300,1300,0.040600,0,indigo ledge,18006,18021,sparse,CORRECT,8108788,0.811,996c945b96c5,False
meta-llama/Llama-3.2-3B,semantic,16,32000,11,2000,2000,0.062453,0,indigo ledge,18006,18021,sparse,CORRECT,8108788,0.854,996c945b96c5,False
meta-llama/Llama-3.2-3B,semantic,16,32000,11,2600,2600,0.081184,0,indigo ledge,18006,18021,sparse,CORRECT,8108788,0.885,996c945b96c5,False
meta-llama/Llama-3.2-3B,semantic,16,32000,11,3500,3500,0.109281,0,indigo ledge,18006,18021,sparse,CORRECT,8108788,0.915,996c945b96c5,False
meta-llama/Llama-3.2-3B,semantic,16,32000,11,5200,5200,0.162353,0,indigo ledge,18006,18021,sparse,CORRECT,8108788,0.958,996c945b96c5,False
meta-llama/Llama-3.2-3B,semantic,16,32000,12,dense,-,-,-,teal carpet,28748,28762,dense,CORRECT,1894207,,d6f62eff9429,False
meta-llama/Llama-3.2-3B,semantic,16,32000,12,1300,1300,0.040603,0,teal carpet,28748,28762,sparse,CORRECT,1894207,0.905,d6f62eff9429,False
meta-llama/Llama-3.2-3B,semantic,16,32000,12,2000,2000,0.062457,0,teal carpet,28748,28762,sparse,CORRECT,1894207,0.939,d6f62eff9429,False
meta-llama/Llama-3.2-3B,semantic,16,32000,12,2600,2600,0.081190,0,teal carpet,28748,28762,sparse,CORRECT,1894207,0.960,d6f62eff9429,False
meta-llama/Llama-3.2-3B,semantic,16,32000,12,3500,3500,0.109288,0,teal carpet,28748,28762,sparse,CORRECT,1894207,0.978,d6f62eff9429,False
meta-llama/Llama-3.2-3B,semantic,16,32000,12,5200,5200,0.162363,0,teal carpet,28748,28762,sparse,CORRECT,1894207,0.991,d6f62eff9429,False
meta-llama/Llama-3.2-3B,semantic,16,32000,13,dense,-,-,-,scarlet shutter,22514,22529,dense,CORRECT,7152901,,2655c53d9798,False
meta-llama/Llama-3.2-3B,semantic,16,32000,13,1300,1300,0.040600,0,scarlet shutter,22514,22529,sparse,CORRECT,7152901,0.775,2655c53d9798,False
meta-llama/Llama-3.2-3B,semantic,16,32000,13,2000,2000,0.062453,0,scarlet shutter,22514,22529,sparse,CORRECT,7152901,0.817,2655c53d9798,False
meta-llama/Llama-3.2-3B,semantic,16,32000,13,2600,2600,0.081184,0,scarlet shutter,22514,22529,sparse,CORRECT,7152901,0.859,2655c53d9798,False
meta-llama/Llama-3.2-3B,semantic,16,32000,13,3500,3500,0.109281,0,scarlet shutter,22514,22529,sparse,CORRECT,7152901,0.891,2655c53d9798,False
meta-llama/Llama-3.2-3B,semantic,16,32000,13,5200,5200,0.162353,0,scarlet shutter,22514,22529,sparse,CORRECT,7152901,0.939,2655c53d9798,False
meta-llama/Llama-3.2-3B,semantic,16,32000,14,dense,-,-,-,blue floor,11618,11632,dense,CORRECT,7159005,,9b238577e9d3,False
meta-llama/Llama-3.2-3B,semantic,16,32000,14,1300,1300,0.040603,0,blue floor,11618,11632,sparse,CORRECT,7159005,0.851,9b238577e9d3,False
meta-llama/Llama-3.2-3B,semantic,16,32000,14,2000,2000,0.062457,0,blue floor,11618,11632,sparse,CORRECT,7159005,0.902,9b238577e9d3,False
meta-llama/Llama-3.2-3B,semantic,16,32000,14,2600,2600,0.081190,0,blue floor,11618,11632,sparse,CORRECT,7159005,0.933,9b238577e9d3,False
meta-llama/Llama-3.2-3B,semantic,16,32000,14,3500,3500,0.109288,0,blue floor,11618,11632,sparse,CORRECT,7159005,0.945,9b238577e9d3,False
meta-llama/Llama-3.2-3B,semantic,16,32000,14,5200,5200,0.162363,0,blue floor,11618,11632,sparse,CORRECT,7159005,0.969,9b238577e9d3,False
meta-llama/Llama-3.2-3B,semantic,16,32000,15,dense,-,-,-,green fountain,2946,2960,dense,CORRECT,7211599,,11ec6fc10871,False
meta-llama/Llama-3.2-3B,semantic,16,32000,15,1300,1300,0.040603,0,green fountain,2946,2960,sparse,CORRECT,7211599,0.708,11ec6fc10871,False
meta-llama/Llama-3.2-3B,semantic,16,32000,15,2000,2000,0.062457,0,green fountain,2946,2960,sparse,CORRECT,7211599,0.750,11ec6fc10871,False
meta-llama/Llama-3.2-3B,semantic,16,32000,15,2600,2600,0.081190,0,green fountain,2946,2960,sparse,CORRECT,7211599,0.787,11ec6fc10871,False
meta-llama/Llama-3.2-3B,semantic,16,32000,15,3500,3500,0.109288,0,green fountain,2946,2960,sparse,CORRECT,7211599,0.821,11ec6fc10871,False
meta-llama/Llama-3.2-3B,semantic,16,32000,15,5200,5200,0.162363,0,green fountain,2946,2960,sparse,CORRECT,7211599,0.878,11ec6fc10871,False
meta-llama/Llama-3.2-3B,semantic,16,32000,16,dense,-,-,-,olive fountain,29374,29388,dense,CORRECT,2471669,,64e43e358887,False
meta-llama/Llama-3.2-3B,semantic,16,32000,16,1300,1300,0.040603,0,olive fountain,29374,29388,sparse,CORRECT,2471669,0.930,64e43e358887,False
meta-llama/Llama-3.2-3B,semantic,16,32000,16,2000,2000,0.062457,0,olive fountain,29374,29388,sparse,CORRECT,2471669,0.961,64e43e358887,False
meta-llama/Llama-3.2-3B,semantic,16,32000,16,2600,2600,0.081190,0,olive fountain,29374,29388,sparse,CORRECT,2471669,0.972,64e43e358887,False
meta-llama/Llama-3.2-3B,semantic,16,32000,16,3500,3500,0.109288,0,olive fountain,29374,29388,sparse,CORRECT,2471669,0.982,64e43e358887,False
meta-llama/Llama-3.2-3B,semantic,16,32000,16,5200,5200,0.162363,0,olive fountain,29374,29388,sparse,CORRECT,2471669,0.996,64e43e358887,False
meta-llama/Llama-3.2-3B,semantic,16,32000,17,dense,-,-,-,black cabinet,6701,6715,dense,CORRECT,9596748,,324b11bf0f15,False
meta-llama/Llama-3.2-3B,semantic,16,32000,17,1300,1300,0.040603,0,black cabinet,6701,6715,sparse,CORRECT,9596748,0.714,324b11bf0f15,False
meta-llama/Llama-3.2-3B,semantic,16,32000,17,2000,2000,0.062457,0,black cabinet,6701,6715,sparse,CORRECT,9596748,0.762,324b11bf0f15,False
meta-llama/Llama-3.2-3B,semantic,16,32000,17,2600,2600,0.081190,0,black cabinet,6701,6715,sparse,CORRECT,9596748,0.789,324b11bf0f15,False
meta-llama/Llama-3.2-3B,semantic,16,32000,17,3500,3500,0.109288,0,black cabinet,6701,6715,sparse,CORRECT,9596748,0.832,324b11bf0f15,False
meta-llama/Llama-3.2-3B,semantic,16,32000,17,5200,5200,0.162363,0,black cabinet,6701,6715,sparse,CORRECT,9596748,0.868,324b11bf0f15,False
meta-llama/Llama-3.2-3B,semantic,16,32000,18,dense,-,-,-,indigo fountain,2489,2504,dense,CORRECT,6089566,,5f420f1487df,False
meta-llama/Llama-3.2-3B,semantic,16,32000,18,1300,1300,0.040600,0,indigo fountain,2489,2504,sparse,CORRECT,6089566,0.781,5f420f1487df,False
meta-llama/Llama-3.2-3B,semantic,16,32000,18,2000,2000,0.062453,0,indigo fountain,2489,2504,sparse,CORRECT,6089566,0.815,5f420f1487df,False
meta-llama/Llama-3.2-3B,semantic,16,32000,18,2600,2600,0.081184,0,indigo fountain,2489,2504,sparse,CORRECT,6089566,0.841,5f420f1487df,False
meta-llama/Llama-3.2-3B,semantic,16,32000,18,3500,3500,0.109281,0,indigo fountain,2489,2504,sparse,CORRECT,6089566,0.866,5f420f1487df,False
meta-llama/Llama-3.2-3B,semantic,16,32000,18,5200,5200,0.162353,0,indigo fountain,2489,2504,sparse,CORRECT,6089566,0.911,5f420f1487df,False
meta-llama/Llama-3.2-3B,semantic,16,32000,19,dense,-,-,-,grey safe,21933,21947,dense,CORRECT,3225361,,9008c8b02b65,False
meta-llama/Llama-3.2-3B,semantic,16,32000,19,1300,1300,0.040603,0,grey safe,21933,21947,sparse,CORRECT,3225361,0.688,9008c8b02b65,False
meta-llama/Llama-3.2-3B,semantic,16,32000,19,2000,2000,0.062457,0,grey safe,21933,21947,sparse,CORRECT,3225361,0.750,9008c8b02b65,False
meta-llama/Llama-3.2-3B,semantic,16,32000,19,2600,2600,0.081190,0,grey safe,21933,21947,sparse,CORRECT,3225361,0.789,9008c8b02b65,False
meta-llama/Llama-3.2-3B,semantic,16,32000,19,3500,3500,0.109288,0,grey safe,21933,21947,sparse,CORRECT,3225361,0.829,9008c8b02b65,False
meta-llama/Llama-3.2-3B,semantic,16,32000,19,5200,5200,0.162363,0,grey safe,21933,21947,sparse,CORRECT,3225361,0.882,9008c8b02b65,False
meta-llama/Llama-3.2-3B,semantic,16,32000,20,dense,-,-,-,ivory gate,632,646,dense,WRONG_NEEDLE,7921845,,54e002eb5864,False
meta-llama/Llama-3.2-3B,semantic,16,32000,20,1300,1300,0.040603,0,ivory gate,632,646,sparse,WRONG_NEEDLE,7921845,0.737,54e002eb5864,False
meta-llama/Llama-3.2-3B,semantic,16,32000,20,2000,2000,0.062457,0,ivory gate,632,646,sparse,WRONG_NEEDLE,7921845,0.780,54e002eb5864,False
meta-llama/Llama-3.2-3B,semantic,16,32000,20,2600,2600,0.081190,0,ivory gate,632,646,sparse,WRONG_NEEDLE,7921845,0.805,54e002eb5864,False
meta-llama/Llama-3.2-3B,semantic,16,32000,20,3500,3500,0.109288,0,ivory gate,632,646,sparse,WRONG_NEEDLE,7921845,0.845,54e002eb5864,False
meta-llama/Llama-3.2-3B,semantic,16,32000,20,5200,5200,0.162363,0,ivory gate,632,646,sparse,WRONG_NEEDLE,7921845,0.884,54e002eb5864,False
meta-llama/Llama-3.2-3B,semantic,16,32000,21,dense,-,-,-,maroon awning,18383,18399,dense,CORRECT,3661786,,389590e8cbad,False
meta-llama/Llama-3.2-3B,semantic,16,32000,21,1300,1300,0.040597,0,maroon awning,18383,18399,sparse,CORRECT,3661786,0.787,389590e8cbad,False
meta-llama/Llama-3.2-3B,semantic,16,32000,21,2000,2000,0.062449,0,maroon awning,18383,18399,sparse,CORRECT,3661786,0.850,389590e8cbad,False
meta-llama/Llama-3.2-3B,semantic,16,32000,21,2600,2600,0.081179,0,maroon awning,18383,18399,sparse,CORRECT,3661786,0.878,389590e8cbad,False
meta-llama/Llama-3.2-3B,semantic,16,32000,21,3500,3500,0.109275,0,maroon awning,18383,18399,sparse,CORRECT,3661786,0.908,389590e8cbad,False
meta-llama/Llama-3.2-3B,semantic,16,32000,21,5200,5200,0.162343,0,maroon awning,18383,18399,sparse,CORRECT,3661786,0.945,389590e8cbad,False
meta-llama/Llama-3.2-3B,semantic,16,32000,22,dense,-,-,-,scarlet banister,6060,6076,dense,WRONG_NEEDLE,1745798,,59cf99194ef1,False
meta-llama/Llama-3.2-3B,semantic,16,32000,22,1300,1300,0.040597,0,scarlet banister,6060,6076,sparse,WRONG_NEEDLE,1745798,0.795,59cf99194ef1,False
meta-llama/Llama-3.2-3B,semantic,16,32000,22,2000,2000,0.062449,0,scarlet banister,6060,6076,sparse,WRONG_NEEDLE,1745798,0.830,59cf99194ef1,False
meta-llama/Llama-3.2-3B,semantic,16,32000,22,2600,2600,0.081179,0,scarlet banister,6060,6076,sparse,WRONG_NEEDLE,1745798,0.857,59cf99194ef1,False
meta-llama/Llama-3.2-3B,semantic,16,32000,22,3500,3500,0.109275,0,scarlet banister,6060,6076,sparse,WRONG_NEEDLE,1745798,0.884,59cf99194ef1,False
meta-llama/Llama-3.2-3B,semantic,16,32000,22,5200,5200,0.162343,0,scarlet banister,6060,6076,sparse,WRONG_NEEDLE,1745798,0.932,59cf99194ef1,False
meta-llama/Llama-3.2-3B,semantic,16,32000,23,dense,-,-,-,copper awning,1482,1497,dense,CORRECT,7322362,,d8a2f5b8778e,False
meta-llama/Llama-3.2-3B,semantic,16,32000,23,1300,1300,0.040600,0,copper awning,1482,1497,sparse,CORRECT,7322362,0.664,d8a2f5b8778e,False
meta-llama/Llama-3.2-3B,semantic,16,32000,23,2000,2000,0.062453,0,copper awning,1482,1497,sparse,CORRECT,7322362,0.710,d8a2f5b8778e,False
meta-llama/Llama-3.2-3B,semantic,16,32000,23,2600,2600,0.081184,0,copper awning,1482,1497,sparse,CORRECT,7322362,0.737,d8a2f5b8778e,False
meta-llama/Llama-3.2-3B,semantic,16,32000,23,3500,3500,0.109281,0,copper awning,1482,1497,sparse,CORRECT,7322362,0.768,d8a2f5b8778e,False
meta-llama/Llama-3.2-3B,semantic,16,32000,23,5200,5200,0.162353,0,copper awning,1482,1497,sparse,CORRECT,7322362,0.814,d8a2f5b8778e,False
meta-llama/Llama-3.2-3B,semantic,16,32000,24,dense,-,-,-,ivory floor,3569,3583,dense,CORRECT,1060199,,417ca26ea3b5,False
meta-llama/Llama-3.2-3B,semantic,16,32000,24,1300,1300,0.040603,0,ivory floor,3569,3583,sparse,CORRECT,1060199,0.808,417ca26ea3b5,False
meta-llama/Llama-3.2-3B,semantic,16,32000,24,2000,2000,0.062457,0,ivory floor,3569,3583,sparse,CORRECT,1060199,0.841,417ca26ea3b5,False
meta-llama/Llama-3.2-3B,semantic,16,32000,24,2600,2600,0.081190,0,ivory floor,3569,3583,sparse,CORRECT,1060199,0.865,417ca26ea3b5,False
meta-llama/Llama-3.2-3B,semantic,16,32000,24,3500,3500,0.109288,0,ivory floor,3569,3583,sparse,CORRECT,1060199,0.894,417ca26ea3b5,False
meta-llama/Llama-3.2-3B,semantic,16,32000,24,5200,5200,0.162363,0,ivory floor,3569,3583,sparse,CORRECT,1060199,0.924,417ca26ea3b5,False
meta-llama/Llama-3.2-3B,semantic,16,32000,25,dense,-,-,-,amber skylight,26769,26785,dense,CORRECT,4967212,,5246db0f9b2a,False
meta-llama/Llama-3.2-3B,semantic,16,32000,25,1300,1300,0.040597,0,amber skylight,26769,26785,sparse,CORRECT,4967212,0.854,5246db0f9b2a,False
meta-llama/Llama-3.2-3B,semantic,16,32000,25,2000,2000,0.062449,0,amber skylight,26769,26785,sparse,CORRECT,4967212,0.885,5246db0f9b2a,False
meta-llama/Llama-3.2-3B,semantic,16,32000,25,2600,2600,0.081179,0,amber skylight,26769,26785,sparse,CORRECT,4967212,0.912,5246db0f9b2a,False
meta-llama/Llama-3.2-3B,semantic,16,32000,25,3500,3500,0.109275,0,amber skylight,26769,26785,sparse,CORRECT,4967212,0.943,5246db0f9b2a,False
meta-llama/Llama-3.2-3B,semantic,16,32000,25,5200,5200,0.162343,0,amber skylight,26769,26785,sparse,CORRECT,4967212,0.964,5246db0f9b2a,False
meta-llama/Llama-3.2-3B,semantic,16,32000,26,dense,-,-,-,crimson shutter,5873,5887,dense,CORRECT,9129142,,d834f2b2fba8,False
meta-llama/Llama-3.2-3B,semantic,16,32000,26,1300,1300,0.040603,0,crimson shutter,5873,5887,sparse,CORRECT,9129142,0.653,d834f2b2fba8,False
meta-llama/Llama-3.2-3B,semantic,16,32000,26,2000,2000,0.062457,0,crimson shutter,5873,5887,sparse,CORRECT,9129142,0.722,d834f2b2fba8,False
meta-llama/Llama-3.2-3B,semantic,16,32000,26,2600,2600,0.081190,0,crimson shutter,5873,5887,sparse,CORRECT,9129142,0.744,d834f2b2fba8,False
meta-llama/Llama-3.2-3B,semantic,16,32000,26,3500,3500,0.109288,0,crimson shutter,5873,5887,sparse,CORRECT,9129142,0.780,d834f2b2fba8,False
meta-llama/Llama-3.2-3B,semantic,16,32000,26,5200,5200,0.162363,0,crimson shutter,5873,5887,sparse,CORRECT,9129142,0.830,d834f2b2fba8,False
meta-llama/Llama-3.2-3B,semantic,16,32000,27,dense,-,-,-,white panelling,25405,25420,dense,CORRECT,6291447,,f9dfb5fdbee6,False
meta-llama/Llama-3.2-3B,semantic,16,32000,27,1300,1300,0.040600,0,white panelling,25405,25420,sparse,CORRECT,6291447,0.618,f9dfb5fdbee6,False
meta-llama/Llama-3.2-3B,semantic,16,32000,27,2000,2000,0.062453,0,white panelling,25405,25420,sparse,CORRECT,6291447,0.661,f9dfb5fdbee6,False
meta-llama/Llama-3.2-3B,semantic,16,32000,27,2600,2600,0.081184,0,white panelling,25405,25420,sparse,CORRECT,6291447,0.695,f9dfb5fdbee6,False
meta-llama/Llama-3.2-3B,semantic,16,32000,27,3500,3500,0.109281,0,white panelling,25405,25420,sparse,CORRECT,6291447,0.734,f9dfb5fdbee6,False
meta-llama/Llama-3.2-3B,semantic,16,32000,27,5200,5200,0.162353,0,white panelling,25405,25420,sparse,CORRECT,6291447,0.784,f9dfb5fdbee6,False
meta-llama/Llama-3.2-3B,semantic,16,32000,28,dense,-,-,-,copper ledge,13220,13234,dense,CORRECT,2155575,,f30401242b4d,False
